"traffic_source","traffic_medium","main_country","sessions","purchases","revenue","avg_ltv","avg_total_orders"
"Unknown","referral","Taiwan","140","0","0.00","0.17","0.01"
"Unknown","referral","Thailand","53","0","0.00","17.98","0.09"
"Unknown","referral","Tunisia","7","0","0.00","0.00","0.00"
"Unknown","referral","Ukraine","36","0","0.00","0.00","0.00"
"Unknown","referral","United Arab Emirates","33","0","0.00","0.00","0.00"
"Unknown","referral","Uruguay","4","0","0.00","4.00","0.25"
"Unknown","referral","Venezuela","4","0","0.00","0.00","0.00"
"Unknown","referral","Vietnam","53","0","0.00","7.70","0.09"
"Unknown","Unknown","Albania","4","0","0.00","0.00","0.00"
"Unknown","Unknown","Algeria","14","0","0.00","6.00","0.29"
"Unknown","Unknown","Armenia","3","0","0.00","0.00","0.00"
"Unknown","Unknown","Azerbaijan","11","0","0.00","0.00","0.00"
"Unknown","Unknown","Bahamas","3","0","0.00","0.00","0.00"
"Unknown","Unknown","Belarus","5","0","0.00","0.00","0.00"
"Unknown","Unknown","Bolivia","6","0","0.00","0.00","0.00"
"Unknown","Unknown","Bosnia & Herzegovina","3","0","0.00","0.00","0.00"
"Unknown","Unknown","Bulgaria","28","0","0.00","0.93","0.07"
"Unknown","Unknown","Chile","62","0","0.00","0.42","0.03"
"Unknown","Unknown","Colombia","103","1","0.00","4.50","0.07"
"Unknown","Unknown","Costa Rica","12","0","0.00","0.00","0.00"
"Unknown","Unknown","Croatia","23","0","0.00","0.00","0.00"
"Unknown","Unknown","Cyprus","4","0","0.00","0.00","0.00"
"Unknown","Unknown","Egypt","52","0","0.00","0.00","0.00"
"Unknown","Unknown","El Salvador","16","0","0.00","0.00","0.00"
"Unknown","Unknown","Estonia","5","0","0.00","0.00","0.00"
"Unknown","Unknown","Ghana","2","0","0.00","0.00","0.00"
"Unknown","Unknown","Honduras","6","0","0.00","0.00","0.00"
"Unknown","Unknown","Hungary","31","0","0.00","0.00","0.00"
"Unknown","Unknown","Iceland","3","0","0.00","0.00","0.00"
"Unknown","Unknown","Iraq","15","0","0.00","0.00","0.00"
"Unknown","Unknown","Israel","95","0","0.00","3.76","0.06"
"Unknown","Unknown","Jamaica","1","0","0.00","0.00","0.00"
"Unknown","Unknown","Jordan","14","0","0.00","0.00","0.00"
"Unknown","Unknown","Kenya","14","0","0.00","0.00","0.00"
"Unknown","Unknown","Kosovo","1","0","0.00","0.00","0.00"
"Unknown","Unknown","Kuwait","10","0","0.00","0.00","0.00"
"Unknown","Unknown","Lithuania","23","0","0.00","0.00","0.00"
"Unknown","Unknown","Luxembourg","5","0","0.00","0.00","0.00"
"Unknown","Unknown","Macao","3","0","0.00","0.00","0.00"
"Unknown","Unknown","Malta","6","0","0.00","19.50","0.17"
"Unknown","Unknown","Mongolia","6","0","0.00","9.17","0.17"
"Unknown","Unknown","Myanmar (Burma)","12","0","0.00","0.00","0.00"
"Unknown","Unknown","Nepal","9","0","0.00","0.00","0.00"
"Unknown","Unknown","New Zealand","24","0","0.00","0.00","0.00"
"Unknown","Unknown","North Macedonia","8","0","0.00","0.00","0.00"
"Unknown","Unknown","Norway","35","0","0.00","0.00","0.00"
"Unknown","Unknown","Oman","5","0","0.00","0.00","0.00"
"Unknown","Unknown","Panama","9","0","0.00","0.00","0.00"
"Unknown","Unknown","Paraguay","4","0","0.00","0.00","0.00"
"Unknown","Unknown","Portugal","76","0","0.00","1.89","0.04"
"Unknown","Unknown","Qatar","7","0","0.00","0.00","0.00"
"Unknown","Unknown","Saudi Arabia","44","0","0.00","2.45","0.05"
"Unknown","Unknown","Serbia","10","0","0.00","0.00","0.00"
"Unknown","Unknown","Slovakia","23","0","0.00","0.00","0.00"
"Unknown","Unknown","South Africa","33","0","0.00","0.00","0.00"
"Unknown","Unknown","Sweden","107","1","0.00","0.00","0.01"
"Unknown","Unknown","Trinidad & Tobago","10","0","0.00","0.00","0.00"
"Unknown","Unknown","Tunisia","14","0","0.00","0.00","0.00"
"Unknown","Unknown","Ukraine","74","0","0.00","12.81","0.03"
"Unknown","Unknown","United Arab Emirates","65","0","0.00","2.98","0.02"
"Unknown","Unknown","Venezuela","15","0","0.00","0.00","0.00"
"Unknown","organic","Greece","10","0","0.00","0.00","0.00"
"Direct","Unknown","Armenia","5","0","0.00","0.00","0.00"
"Direct","Unknown","Azerbaijan","13","0","0.00","0.00","0.00"
"Direct","Unknown","Bahamas","2","0","0.00","0.00","0.00"
"Direct","Unknown","Bahrain","3","0","0.00","0.00","0.00"
"Direct","Unknown","Bangladesh","57","0","0.00","0.81","0.02"
"Direct","Unknown","Belarus","5","0","0.00","0.00","0.00"
"Direct","Unknown","Bolivia","8","0","0.00","0.00","0.00"
"Direct","Unknown","Bosnia & Herzegovina","7","0","0.00","0.00","0.00"
"Direct","Unknown","Bulgaria","24","0","0.00","1.08","0.08"
"Direct","Unknown","Cambodia","9","0","0.00","0.00","0.00"
"Direct","Unknown","Chile","45","0","0.00","0.58","0.04"
"Direct","Unknown","Croatia","27","0","0.00","0.00","0.00"
"Direct","Unknown","Cyprus","9","0","0.00","0.00","0.00"
"Direct","Unknown","Dominican Republic","20","0","0.00","14.80","0.20"
"Direct","Unknown","Ecuador","17","0","0.00","0.00","0.00"
"Direct","Unknown","El Salvador","13","0","0.00","0.00","0.00"
"Direct","Unknown","Estonia","7","0","0.00","0.00","0.00"
"Direct","Unknown","Georgia","11","0","0.00","0.00","0.00"
"Direct","Unknown","Ghana","9","0","0.00","0.00","0.00"
"Direct","Unknown","Guatemala","11","0","0.00","0.00","0.00"
"Direct","Unknown","Honduras","3","0","0.00","0.00","0.00"
"Direct","Unknown","Hungary","34","0","0.00","0.00","0.00"
"Direct","Unknown","Iceland","7","0","0.00","0.00","0.00"
"Direct","Unknown","Iraq","12","0","0.00","0.00","0.00"
"Direct","Unknown","Jamaica","4","0","0.00","0.00","0.00"
"Direct","Unknown","Jordan","18","0","0.00","0.00","0.00"
"Direct","Unknown","Kazakhstan","10","0","0.00","0.00","0.00"
"Direct","Unknown","Kenya","20","0","0.00","0.00","0.00"
"Direct","Unknown","Kosovo","3","0","0.00","0.00","0.00"
"Direct","Unknown","Latvia","11","0","0.00","0.00","0.00"
"Direct","Unknown","Lebanon","8","0","0.00","0.00","0.00"
"Direct","Unknown","Lithuania","29","0","0.00","0.00","0.00"
"Direct","Unknown","Luxembourg","3","0","0.00","0.00","0.00"
"Direct","Unknown","Malta","7","0","0.00","0.00","0.00"
"Direct","Unknown","Morocco","39","0","0.00","15.38","0.13"
"Direct","Unknown","Myanmar (Burma)","13","0","0.00","0.00","0.00"
"Direct","Unknown","Nepal","12","0","0.00","0.00","0.00"
"Direct","Unknown","North Macedonia","11","0","0.00","0.00","0.00"
"Direct","Unknown","Norway","49","0","0.00","0.00","0.00"
"Direct","Unknown","Oman","8","0","0.00","0.00","0.00"
"Direct","Unknown","Palestine","16","0","0.00","0.00","0.00"
"Direct","Unknown","Panama","6","0","0.00","0.00","0.00"
"Direct","Unknown","Paraguay","5","0","0.00","0.00","0.00"
"Direct","Unknown","Puerto Rico","21","0","0.00","0.00","0.00"
"Direct","Unknown","Qatar","12","0","0.00","0.00","0.00"
"Direct","Unknown","Romania","65","0","0.00","0.00","0.00"
"Direct","Unknown","Serbia","14","0","0.00","0.00","0.00"
"Direct","Unknown","Slovakia","28","0","0.00","0.00","0.00"
"Direct","Unknown","Slovenia","17","0","0.00","5.18","0.12"
"Direct","Unknown","South Africa","37","0","0.00","0.00","0.00"
"Direct","Unknown","Sri Lanka","39","1","0.00","1.03","0.08"
"Direct","Unknown","Trinidad & Tobago","8","0","0.00","0.00","0.00"
"Direct","Unknown","Uruguay","9","0","0.00","0.00","0.00"
"Direct","Unknown","Venezuela","6","0","0.00","0.00","0.00"
"google","cpc","Albania","3","0","0.00","0.00","0.00"
"google","cpc","Algeria","4","0","0.00","0.00","0.00"
"google","cpc","Argentina","7","0","0.00","0.00","0.00"
"google","cpc","Armenia","1","0","0.00","0.00","0.00"
"google","cpc","Austria","12","0","0.00","0.00","0.00"
"google","cpc","Azerbaijan","3","0","0.00","0.00","0.00"
"google","cpc","Bahamas","3","0","0.00","0.00","0.00"
"google","cpc","Bahrain","2","0","0.00","103.00","0.50"
"google","cpc","Bangladesh","8","0","0.00","5.75","0.13"
"google","cpc","Belarus","3","0","0.00","0.00","0.00"
"google","cpc","Belgium","15","0","0.00","0.00","0.00"
"google","cpc","Bolivia","2","0","0.00","0.00","0.00"
"google","cpc","Bosnia & Herzegovina","2","0","0.00","0.00","0.00"
"google","cpc","Cambodia","1","0","0.00","0.00","0.00"
"google","cpc","Chile","8","0","0.00","0.00","0.00"
"google","cpc","Colombia","28","0","0.00","0.00","0.00"
"google","cpc","Costa Rica","2","0","0.00","0.00","0.00"
"google","cpc","Croatia","3","0","0.00","0.00","0.00"
"google","cpc","Cyprus","1","0","0.00","0.00","0.00"
"google","cpc","Czechia","6","0","0.00","0.00","0.00"
"google","cpc","Denmark","13","0","0.00","17.38","0.08"
"google","cpc","Dominican Republic","2","0","0.00","0.00","0.00"
"google","cpc","Ecuador","4","0","0.00","0.00","0.00"
"google","cpc","Egypt","7","0","0.00","0.00","0.00"
"google","cpc","Estonia","4","0","0.00","0.00","0.00"
"google","cpc","Finland","10","0","0.00","0.00","0.00"
"google","cpc","Georgia","2","0","0.00","0.00","0.00"
"google","cpc","Ghana","2","0","0.00","0.00","0.00"
"google","cpc","Greece","17","0","0.00","3.88","0.06"
"google","cpc","Guatemala","1","0","0.00","0.00","0.00"
"google","cpc","Honduras","1","0","0.00","0.00","0.00"
"google","cpc","Hong Kong","31","0","0.00","0.00","0.00"
"google","cpc","Hungary","10","0","0.00","0.00","0.00"
"google","cpc","Indonesia","44","0","0.00","0.00","0.00"
"google","cpc","Iraq","3","0","0.00","0.00","0.00"
"google","cpc","Ireland","26","0","0.00","0.00","0.00"
"google","cpc","Israel","18","0","0.00","2.56","0.06"
"google","cpc","Italy","55","0","0.00","0.00","0.00"
"google","cpc","Jamaica","4","0","0.00","0.00","0.00"
"google","cpc","Japan","61","0","0.00","4.34","0.02"
"google","cpc","Jordan","4","0","0.00","0.00","0.00"
"google","cpc","Kazakhstan","4","0","0.00","0.00","0.00"
"google","cpc","Kenya","4","0","0.00","0.00","0.00"
"google","cpc","Kuwait","2","0","0.00","0.00","0.00"
"google","cpc","Latvia","6","0","0.00","0.00","0.00"
"google","cpc","Lebanon","2","0","0.00","0.00","0.00"
"google","cpc","Lithuania","2","0","0.00","0.00","0.00"
"google","cpc","Macao","1","0","0.00","98.00","2.00"
"google","cpc","Malta","2","0","0.00","0.00","0.00"
"google","cpc","Morocco","7","0","0.00","0.00","0.00"
"google","cpc","Myanmar (Burma)","2","0","0.00","0.00","0.00"
"google","cpc","Nepal","2","0","0.00","0.00","0.00"
"google","cpc","New Zealand","4","0","0.00","0.00","0.00"
"google","cpc","Nigeria","3","0","0.00","0.00","0.00"
"google","cpc","North Macedonia","1","0","0.00","0.00","0.00"
"google","cpc","Norway","5","0","0.00","0.00","0.00"
"google","cpc","Oman","4","0","0.00","0.00","0.00"
"google","cpc","Pakistan","13","0","0.00","0.00","0.00"
"google","cpc","Palestine","1","0","0.00","0.00","0.00"
"google","cpc","Panama","2","0","0.00","0.00","0.00"
"google","cpc","Peru","20","0","0.00","0.00","0.00"
"google","cpc","Philippines","19","0","0.00","0.00","0.00"
"google","cpc","Poland","44","0","0.00","1.20","0.02"
"google","cpc","Portugal","13","0","0.00","0.00","0.00"
"google","cpc","Puerto Rico","1","0","0.00","0.00","0.00"
"google","cpc","Qatar","3","0","0.00","0.00","0.00"
"google","cpc","Romania","13","0","0.00","0.00","0.00"
"google","cpc","Russia","24","0","0.00","0.00","0.00"
"google","cpc","Saudi Arabia","8","0","0.00","6.75","0.13"
"google","cpc","Serbia","2","0","0.00","0.00","0.00"
"google","cpc","Slovakia","5","0","0.00","0.00","0.00"
"google","cpc","Slovenia","5","0","0.00","0.00","0.00"
"google","cpc","South Africa","2","0","0.00","0.00","0.00"
"google","cpc","Sri Lanka","5","0","0.00","0.00","0.00"
"google","cpc","Sweden","38","0","0.00","0.00","0.00"
"google","cpc","Switzerland","25","0","0.00","0.00","0.00"
"google","cpc","Taiwan","81","0","0.00","2.81","0.04"
"google","cpc","Thailand","26","0","0.00","1.81","0.04"
"google","cpc","Trinidad & Tobago","1","0","0.00","0.00","0.00"
"google","cpc","Tunisia","1","0","0.00","0.00","0.00"
"google","cpc","Turkey","37","0","0.00","1.73","0.05"
"google","cpc","Ukraine","19","0","0.00","0.00","0.00"
"google","cpc","United Arab Emirates","13","0","0.00","0.00","0.00"
"google","cpc","United Kingdom","128","0","0.00","0.04","0.01"
"google","cpc","Uruguay","3","0","0.00","0.00","0.00"
"google","cpc","Venezuela","2","0","0.00","0.00","0.00"
"google","cpc",NULL,"35","0","0.00","0.00","0.00"
"google","organic","Albania","10","0","0.00","0.00","0.00"
"google","organic","Algeria","17","0","0.00","0.00","0.00"
"google","organic","Argentina","83","0","0.00","1.19","0.01"
"google","organic","Armenia","10","0","0.00","0.00","0.00"
"google","organic","Azerbaijan","9","0","0.00","0.00","0.00"
"google","organic","Bahamas","3","0","0.00","0.00","0.00"
"google","organic","Bahrain","3","0","0.00","0.00","0.00"
"google","organic","Bangladesh","63","0","0.00","1.94","0.05"
"google","organic","Belarus","11","0","0.00","0.00","0.00"
"google","organic","Belgium","116","1","0.00","0.26","0.03"
"google","organic","Bolivia","7","0","0.00","0.00","0.00"
"google","organic","Bosnia & Herzegovina","8","0","0.00","0.00","0.00"
"google","organic","Cambodia","12","0","0.00","0.00","0.00"
"google","organic","Chile","70","0","0.00","1.20","0.04"
"google","organic","Colombia","135","1","0.00","1.79","0.06"
"google","organic","Croatia","22","0","0.00","0.00","0.00"
"google","organic","Cyprus","7","0","0.00","0.00","0.00"
"google","organic","Czechia","87","0","0.00","0.82","0.01"
"google","organic","Dominican Republic","18","0","0.00","0.00","0.00"
"google","organic","Ecuador","27","0","0.00","0.00","0.00"
"google","organic","Egypt","61","0","0.00","0.00","0.00"
"google","organic","El Salvador","10","0","0.00","0.00","0.00"
"google","organic","Estonia","10","0","0.00","0.00","0.00"
"google","organic","Finland","52","0","0.00","20.83","0.08"
"google","organic","Georgia","25","0","0.00","2.40","0.12"
"google","organic","Ghana","5","0","0.00","0.00","0.00"
"google","organic","Greece","123","0","0.00","5.15","0.06"
"google","organic","Guatemala","6","0","0.00","0.00","0.00"
"google","organic","Honduras","2","0","0.00","0.00","0.00"
"google","organic","Iceland","4","0","0.00","0.00","0.00"
"google","organic","Iraq","13","0","0.00","0.00","0.00"
"google","organic","Jamaica","11","0","0.00","0.00","0.00"
"google","organic","Jordan","18","0","0.00","0.00","0.00"
"google","organic","Kosovo","5","0","0.00","0.00","0.00"
"google","organic","Kuwait","24","0","0.00","10.25","0.08"
"google","organic","Latvia","12","0","0.00","0.00","0.00"
"google","organic","Lithuania","45","0","0.00","0.00","0.00"
"google","organic","Luxembourg","4","0","0.00","0.00","0.00"
"google","organic","Macao","8","0","0.00","24.50","0.50"
"google","organic","Malta","8","0","0.00","17.38","0.25"
"google","organic","Mongolia","6","0","0.00","0.00","0.00"
"google","organic","Myanmar (Burma)","9","0","0.00","0.00","0.00"
"google","organic","Nepal","15","0","0.00","0.00","0.00"
"google","organic","New Zealand","42","0","0.00","8.57","0.12"
"google","organic","North Macedonia","17","0","0.00","0.00","0.00"
"google","organic","Norway","53","0","0.00","0.00","0.00"
"google","organic","Oman","9","0","0.00","0.00","0.00"
"google","organic","Palestine","20","0","0.00","6.30","0.10"
"google","organic","Panama","8","0","0.00","0.00","0.00"
"google","organic","Paraguay","9","0","0.00","0.00","0.00"
"google","organic","Puerto Rico","19","0","0.00","0.95","0.05"
"google","organic","Qatar","17","0","0.00","0.00","0.00"
"google","organic","Romania","66","0","0.00","1.68","0.02"
"google","organic","Saudi Arabia","66","0","0.00","0.82","0.02"
"google","organic","Serbia","22","0","0.00","0.00","0.00"
"google","organic","Slovakia","34","0","0.00","0.00","0.00"
"google","organic","Slovenia","27","0","0.00","4.67","0.07"
"google","organic","South Africa","62","0","0.00","0.00","0.00"
"google","organic","Sri Lanka","53","0","0.00","1.74","0.06"
"google","organic","Sweden","166","1","0.00","0.19","0.02"
"google","organic","Switzerland","159","0","0.00","0.55","0.01"
"google","organic","Trinidad & Tobago","8","0","0.00","0.00","0.00"
"google","organic","Tunisia","11","0","0.00","0.00","0.00"
"google","organic","United Arab Emirates","111","0","0.00","1.75","0.01"
"google","organic","Uruguay","14","0","0.00","1.14","0.07"
"google","organic","Venezuela","13","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Albania","1","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Algeria","2","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Argentina","25","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Armenia","1","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Azerbaijan","8","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Bahamas","1","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Bangladesh","13","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Belarus","2","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Bolivia","1","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Bosnia & Herzegovina","2","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Bulgaria","13","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Cambodia","2","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Chile","16","0","0.00","5.00","0.31"
"shop.googlemerchandisestore.com","referral","Costa Rica","5","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Croatia","7","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Cyprus","3","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Czechia","19","0","0.00","5.21","0.11"
"shop.googlemerchandisestore.com","referral","Dominican Republic","10","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Ecuador","9","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Egypt","10","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","El Salvador","6","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Estonia","2","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Finland","9","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Germany","155","0","0.00","4.90","0.07"
"shop.googlemerchandisestore.com","referral","Greece","30","0","0.00","17.87","0.07"
"shop.googlemerchandisestore.com","referral","Guatemala","3","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Honduras","2","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Hungary","8","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Iceland","2","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Iraq","3","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Ireland","36","0","0.00","0.50","0.03"
"shop.googlemerchandisestore.com","referral","Jordan","6","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Kazakhstan","6","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Kenya","5","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Kosovo","1","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Kuwait","3","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Latvia","5","0","0.00","4.00","0.20"
"shop.googlemerchandisestore.com","referral","Lebanon","3","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Lithuania","14","0","0.00","0.00","0.00"
"shop.googlemerchandisestore.com","referral","Luxembourg","2","0","0.00","0.00","0.00"
